,water_availability_sw[MCM]
571,0.08490104668589907
572,0.052659927592522617
573,0.07031375378654212
574,0.10847115751347165
575,0.14379014843468926
576,0.13431383434812844
577,0.14423451094926049
578,0.1518891007051247
579,0.16121666403498522
580,0.17494087858738944
581,0.16201900023990967
582,0.14194763679316522
583,0.14607405297495205
584,0.14485300093764608
585,0.15582951094976724
586,0.1598900556530879
587,0.04614459045603298
588,0.0014119173458125788
589,0.11213620338091938
590,0.0841562130420947
591,0.08275941374052026
592,0.11840020303194983
593,0.0815853356263828
594,0.0852835871981393
595,0.07698405087647274
596,0.13111474820130645
597,0.1446216408677873
598,0.10473187125021162
599,0.1016993535550849
600,0.09040887415994653
601,0.08912519022508252
602,0.12405786112300035
603,0.1352811192142941
604,0.13400715402215463
605,0.06516282014254517
606,0.1325685101338496
607,0.17033284471058732
608,0.174914152044897
609,0.1544383809147821
610,0.10067645588332891
611,0.07060153655721825
612,0.045867066358232726
613,0.14403014738696981
614,0.15862931874965677
615,0.1817669455259881
616,0.18112064913480735
617,0.22434853691318085
618,0.19232204005497094
619,0.24736143982454747
620,0.1990439004743567
621,0.15716853772514588
622,0.1547485707867398
623,0.13773267206655493
624,0.1384729163040727
625,0.09933418952704208
626,0.10882778137844651
627,0.11457128836356364
628,0.07232040419408034
629,0.03174249359859331
630,0.02678782456461659
631,0.058029802912897
632,0.036505757393912076
633,0.010923596857287644
634,0.10717856473111015
635,0.09324458731490166
636,0.0840484969768979
637,0.08756263236703983
638,0.07730422945623062
639,0.07341430268074048
640,0.08139959965431415
641,0.14072226531464832
642,0.11755602224029478
643,0.08745734598752417
644,0.11208652980699405
645,0.10913068219336079
646,0.0941462706676768
647,0.09546343027192529
648,0.08526900908405252
649,0.1188955889458248
650,0.0552766990711003
651,0.19446043341944158
652,0.18081828825004442
653,0.16841933225415912
654,0.10724065669851683
655,0.12154583609378695
656,0.09032545495156105
657,0.0976868626352355
658,0.15407419802768818
659,0.16479964051942583
660,0.19577813295384144
661,0.2329053499519716
662,0.2074932674130263
663,0.21260505612104946
664,0.17318475577008333
665,0.10850949255421839
666,0.171746381846854
667,0.12204068207751055
668,0.15834774517572128
669,0.14610752864433654
670,0.16034386694530794
671,0.1341677832421849
672,0.13915403819001634
673,0.14733478987838317
674,0.12522842969115397
675,0.11873091024965929
676,0.13413322771249772
677,0.10874139255422852
678,0.11854814389342311
679,0.09202596496327681
680,0.015993810943655914
681,0.08547094296066204
682,0.09020208091197475
