,water_availability_gw[MCM]
404,0.0007644258605494733
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.006483198385219615
428,0.012898955661570559
429,0.012898955661570559
430,0.012898955661570559
431,0.012898955661570559
432,0.012898955661570559
433,0.012898955661570559
434,0.012898955661570559
435,0.012898955661570559
436,0.012898955661570559
437,0.012898955661570559
438,0.009758999701520431
439,0.0009805781076102156
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0036945311338195904
463,0.012898955661570559
464,0.012898955661570559
465,0.012898955661570559
466,0.012898955661570559
467,0.012898955661570559
468,0.012898955661570559
469,0.012898955661570559
470,0.012898955661570559
471,0.012898955661570559
472,0.012898955661570559
473,0.012898955661570559
474,0.011247933176608256
475,0.0013799488769470384
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0006313210022310593
499,0.012756291838480855
500,0.012898955661570559
501,0.012898955661570559
502,0.012898955661570559
503,0.012898955661570559
504,0.012898955661570559
505,0.012898955661570559
506,0.012898955661570559
507,0.012898955661570559
508,0.012898955661570559
509,0.012898955661570559
510,0.012898955661570559
511,0.006877991679601871
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.01061447703586516
536,0.012898955661570559
537,0.012898955661570559
538,0.012898955661570559
539,0.012898955661570559
540,0.012898955661570559
541,0.012898955661570559
542,0.012898955661570559
543,0.012898955661570559
544,0.012898955661570559
545,0.012898955661570559
546,0.012898955661570559
547,0.012530923847664055
548,0.003386316599200174
549,1.702568790343202e-05
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.008160776018319769
574,0.012898955661570559
575,0.012898955661570559
576,0.012898955661570559
577,0.012898955661570559
578,0.012898955661570559
579,0.012898955661570559
580,0.012898955661570559
581,0.012898955661570559
582,0.012898955661570559
583,0.012898955661570559
584,0.012898955661570559
585,0.012898955661570559
586,0.012898955661570559
587,0.0045437162546398445
588,0.00022945496044569013
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.007528086455307396
613,0.012898955661570559
614,0.012898955661570559
615,0.012898955661570559
