FLH_pv,FLH_el
1868.875,5593.2291202317865
1871.3095238095239,5515.160786218272
1873.7560975609756,5526.470024710841
1881.357142857143,5365.938146344299
1888.2758620689656,5211.5110542556795
1894.8,5086.384140916838
1896.2,4994.812583239225
1897.357142857143,5093.657130746258
1898.5,5178.043058238807
1905.09375,4684.342143064656
1909.9565217391305,4443.830280909227
1912.4871794871794,4462.208293315314
1914.7380952380952,4416.52404197515
1916.5714285714287,4494.866973470693
1919.2888888888888,4318.92017344397
1921.0185185185185,4309.83607750517
1928.6315789473683,4155.526962814765
1919.7977528089887,4207.652404379565
1903.392857142857,4688.822028287861
1891.75,4958.702245873719
1876.6307692307691,5661.010661744018
1838.0,6316.783655078645
1838.4444444444443,6317.638963935053
1839.090909090909,6318.224250216183
1839.25,6209.1807766300335
1838.3333333333333,6078.583770978759
1842.655172413793,6045.533757727011
1847.4893617021276,6049.1264177616395
1852.9857142857143,5811.442726117006
1858.7727272727273,5868.4253985447285
1863.6,5863.965405826253
1872.1764705882354,5664.388998108945
1875.2333333333333,5512.48091910439
1878.2380952380952,5532.2080202121
1886.6896551724137,5221.438161811384
1894.3636363636363,5103.295655109483
1897.0833333333333,5187.878988915792
1897.258064516129,5423.15033987505
1897.6206896551723,5250.875626966328
1901.2571428571428,4801.92977803151
1904.076923076923,4631.853278748895
1906.4528301886792,4674.982576421899
1908.6190476190477,4524.813824523502
1909.9375,4555.52923104068
1911.5882352941176,4488.894231652754
1915.6666666666667,4498.673896734748
1919.7088607594937,4575.66670200738
1929.28125,4571.201468164538
1931.9354838709678,4622.7068861812295
1929.4948453608247,4455.580824648903
1913.109243697479,5019.683765666065
1873.5714285714287,5690.020810515358
1837.076923076923,6325.872606398218
1837.46875,6329.142295935861
1839.1052631578948,6295.0374885364145
1841.9473684210527,6261.809738036158
1843.6065573770493,6210.458954946225
1841.4594594594594,6174.007685122866
1845.2,6052.745577415713
1854.3157894736842,5881.681774048164
1854.921052631579,5927.743321863236
1862.095238095238,5921.163954995951
1866.8181818181818,5956.314042850427
1868.021505376344,5871.7403330297675
1872.304347826087,5797.03172648311
1883.86,5435.588265933824
1892.6571428571428,5205.08814443447
1896.5555555555557,5248.080216167
1897.5,5340.7042844481475
1898.0425531914893,5226.164403210394
1900.9,4965.448372475716
1903.6,4724.669584258314
1904.4516129032259,4704.546306439297
1906.6206896551723,4751.500884383655
1907.2115384615386,4608.952315029077
1907.357142857143,4749.9702739165805
1909.0967741935483,4792.817740646744
1914.659090909091,4842.555737019808
1919.276595744681,4798.717185899557
1926.6162790697674,4628.595845383214
1928.3,4583.949756102316
1930.9411764705883,4648.59521508796
1897.741935483871,5040.578764289123
1892.8695652173913,5556.105855223985
1838.875,6291.814966168924
1836.9166666666667,6338.020528371824
1838.7142857142858,6353.650721403392
1841.5416666666667,6301.056013380032
1843.4,6217.8095670664625
1842.264705882353,6209.671545689664
1847.212389380531,6069.722274508065
1855.6037735849056,5990.428492726904
1857.923076923077,5961.01044228251
1860.12,5947.307221666881
1867.0897435897436,5944.699560496112
1870.8620689655172,5938.093810409133
1873.9850746268658,5894.535431188182
1883.896551724138,5595.242630779016
1890.2777777777778,5438.0297801900015
1894.0263157894738,5361.113961885567
1898.0,5211.639885459706
1898.962962962963,5196.059661815583
1902.0,5062.612793398177
1903.6216216216217,4731.931142348418
1903.735294117647,4603.619814727368
1905.7631578947369,4767.266860964737
1904.2777777777778,4983.351352747093
1903.7941176470588,5248.497488728375
1906.4,5027.825218418875
1912.4,4743.231219433859
1915.0714285714287,4777.143945657444
1917.360655737705,4817.89808939441
1919.0594059405942,4678.404968866234
1921.128205128205,4833.249871885317
1928.3809523809523,4801.346644750884
1916.9619047619049,5259.633016705338
1888.1153846153845,5684.514148443734
1836.6666666666667,6306.9650891044
1839.1,6274.646996744123
1841.4,6331.88312530375
1844.3333333333333,6282.9664357801375
1844.3076923076924,6236.685569510271
1845.6785714285713,6166.558882666082
1848.484375,6111.196387674252
1853.9032258064517,6022.4818476831715
1857.0526315789473,5945.405211285775
1864.1066666666666,5878.685786886606
1873.6363636363637,5790.033057000168
1875.763888888889,5983.877678382007
1871.7142857142858,6048.936346015107
1880.4444444444443,5744.874930784921
1885.5641025641025,5523.939625119005
1892.5,5336.28753227627
1896.0,5246.461170452036
1897.0,5291.1817098304455
1900.138888888889,5127.20049474269
1902.7948717948718,4849.799347596447
1902.14,4929.028916263516
1902.25,5001.473046028288
1902.735294117647,5402.8726289201
1902.0,5541.980029797385
1905.2222222222222,4893.597742815677
1908.375,4680.738231039722
1912.0,4686.631034647959
1911.179487179487,4962.978005131095
1911.8307692307692,5060.155911786598
1914.6341463414635,4940.572655326774
1921.3739130434783,4923.5499054905085
1933.0227272727273,4982.063182159385
1907.3362068965516,5396.993350906152
1874.2857142857142,5724.96981303647
1835.0,6335.987219078554
1839.375,6301.548990196607
1841.4545454545455,6286.276439988025
1844.5714285714287,6252.453407852008
1846.2222222222222,6270.421084433416
1842.7796610169491,6226.24153807995
1843.68,6167.344179428153
1853.3796296296296,6016.735579214408
1860.9814814814815,5954.5924727826205
1862.1,5925.371746330435
1867.3692307692309,5919.225260242063
1869.18,6065.593015571212
1872.9756097560976,5934.423663947469
1876.6538461538462,5745.600951208704
