MCA_Morocco_2025,MCA_Morocco_2050
23.59662122340621,23.513675112174734
23.69250828516927,23.598824807302254
23.758256081122727,23.67356545961613
23.870730421647046,23.7695439395589
23.943168926448376,23.8569539843816
24.113048346199633,24.037161231504545
24.24036720194859,24.14178603359383
24.261436596934203,24.129282506345884
24.13577229469293,24.02675150336456
24.260146747682168,24.17017724216482
24.432800299090403,24.29892006626703
24.508461653620476,24.420398342484088
24.55026298614208,24.393766527300606
24.433935874895454,24.315706208848237
24.52785725268191,24.403149889760705
24.559543481950314,24.446397117665253
24.61335356509328,24.48971610196922
24.7712907589837,24.669884066730784
58.565686353223406,58.565686353223406
58.37241807232944,58.37241807232944
57.30731383327128,57.30731383327128
57.751514300432646,57.28966083871512
56.612301936068064,55.794988323986644
54.77676046128038,54.77676046128038
22.600924522550233,22.576024365907998
23.409752436179094,23.282177203185384
23.215628743774378,23.06472723371699
23.139539585349794,23.04740083697636
23.288955625558692,23.18318484349369
23.464732488211105,23.382589581892475
23.525903693131706,23.44597220813155
23.678958570155253,23.60351705050639
23.848028839979595,23.75390997153305
23.923828239580263,23.834823396315663
24.07044933755478,23.937149625504098
24.096285050886458,23.996303376167578
24.01508379001573,23.902575792264518
24.061134922030043,23.98009046986099
24.166025451806373,24.068705328770733
24.2793852351673,24.161404695303826
24.36987276484482,24.260762854507202
24.284796191580387,24.149194057090245
24.394769985770264,24.308595342253835
24.543416239740274,24.40680768127767
24.55936601722867,24.434345848652107
24.553333834032937,24.425919130865616
24.628986808495025,24.48652187752972
24.68100368948497,24.574666425684928
24.74864299696081,24.633007423096906
58.45931353160777,58.45931353160777
57.9442076796051,57.94420767960509
57.200658036016236,57.200658036016236
57.06949973431983,57.06949973431983
57.289860738597454,57.289860738597454
22.470643590825677,22.43124855614027
23.126618520081475,23.02641960360469
23.04420469672324,22.926568614302628
23.1152043423113,23.042160418806848
23.33677084010538,23.234130108128458
23.3480488307553,23.23740938424119
23.37267709174439,23.29702127829467
23.58386512675938,23.513173899745823
23.743665639013972,23.622263654846442
23.782715815215123,23.69253745827916
23.842387718036456,23.748657979920363
23.85438213083121,23.748323356039133
23.935085772297906,23.864196351864294
24.03319658410765,23.966882619779746
24.158907556480873,24.04802592395691
24.216433100636333,24.095971061235527
24.18987837424536,24.051422458550352
24.122980187508343,24.012095833793257
24.349761024905913,24.258179213648784
24.51584681827899,24.398534557601895
24.489594459945227,24.375578779893047
24.52995664803562,24.394396512776453
24.505450549291577,24.379816185415827
24.553849778053387,24.441006599812503
24.569014562835882,24.44910173006005
24.666391473997194,24.56037258955843
58.58053825860424,58.58053825860424
58.207181149280885,58.207181149280885
56.15513461710935,56.15513461710935
55.73857035641702,55.73857035641702
22.325416376034504,22.27566584853434
23.005819422407725,22.92523825302719
22.993029747749535,22.917847421555045
23.14218303161341,23.070419428531853
23.299136570233077,23.218688512451596
23.386844867337533,23.262720331452446
23.34364309712405,23.2745272130042
23.588899790937464,23.49495258429754
23.596124067043725,23.465589992236705
23.578818519121175,23.482385731157233
23.73273722641891,23.654075177077164
23.85655398473901,23.761020323674956
23.85217170393334,23.75697819175954
24.022983893977248,23.957364286917304
24.116350328720213,24.038488989866117
24.126360199103363,24.00317129943239
24.015698687203592,23.8747245358911
24.063628703738726,23.97165549449188
24.284689990059363,24.19739201392603
24.393526733413868,24.277188432392517
24.439274981614997,24.30629606187745
24.469610582614955,24.33281418370038
24.47198548634982,24.338408645886737
24.486791781887742,24.35508439972547
24.48858245143483,24.36237368946641
24.58473409234621,24.455014540298556
24.481609328774066,24.370658512192605
24.500139631971592,24.386473973714086
58.508889098954015,58.508889098954015
57.70891457045521,57.70891457045521
57.28682541389318,57.28682541389318
22.293816361096468,22.247281827970646
22.99746683058661,22.88113215782009
23.044381765424436,22.97871589811542
23.06705561457578,23.002570970979637
23.157828164413065,23.078308486336038
23.202019547255393,23.11846388921259
23.326012616791466,23.26467865898274
23.526033498947903,23.442564465489152
23.487592747153997,23.40532058425707
23.549652006985315,23.43057029178114
23.5112479511096,23.41268764522011
23.60739755656069,23.488127852403174
23.645889869733303,23.55872568549681
23.896919782386394,23.830869546831398
24.047647079529302,23.982183487427022
24.081344823212046,23.970234383867908
24.05184624531792,23.922421962956815
24.105987663099885,23.98586713318489
24.189038827122243,24.12258290732414
24.364626795906265,24.237088979290483
24.33522768981358,24.25480589458568
24.413342034361982,24.261909245280737
24.443853230191532,24.310023545720036
24.3899010665367,24.238072516920607
24.431306926399177,24.29693141634179
24.37416294464236,24.25052230679532
24.35667231848687,24.247972380495153
24.45053786648031,24.3432983010574
24.519169926985377,24.404738253427027
24.48754547741788,24.35992713844826
58.173812835448985,58.173812835448985
57.585622305372716,57.585622305372716
22.340039287778925,22.302824153948166
22.974361446361794,22.863382304489292
22.942555168657865,22.849144036668974
23.031165132206873,22.96065100938217
23.15298090095333,23.06804741313909
23.144050802537826,23.075830643828965
23.321772763719522,23.252623545008426
23.46016367062903,23.351028589273533
23.45906347050165,23.38420950136921
23.500957335319594,23.40240655359903
23.520892150740128,23.423728269428075
23.563754706081408,23.43982201417042
23.594475726013922,23.48557398679714
23.795004000317565,23.732221235002307
23.92398973672285,23.846946569332765
23.96101403160215,23.90149646886736
24.131738849550786,23.993353231293096
24.11318351231858,24.00407518934245
24.151116207407878,24.079300674929076
24.330886585163913,24.234057863891717
24.41309389175323,24.287810630611684
24.417846468168545,24.248669908361663
24.30242181895105,24.156243142402
24.218118541976217,24.040236628260345
24.275246141530815,24.189134130745014
24.3726850911591,24.253189280922715
24.38225562966145,24.245879817363466
24.40022581412176,24.274456297753613
24.409851183116636,24.29877677910505
24.364362976648245,24.23784399889191
24.39644094092427,24.272004354674046
58.06169870276951,58.06169870276951
57.61162486247087,57.61162486247087
22.322920785494112,22.295571783608004
23.060660081251175,22.975575794095594
22.978367488405024,22.886902234834285
23.092042558493056,23.008768770497312
23.117797671678407,23.04490137279232
23.227245272967775,23.14105187366405
23.285933600213102,23.21011338146643
23.385298931450954,23.316026805607514
23.46556115790119,23.395714407199154
23.54970783386133,23.471752160381673
23.679129097646555,23.56767737558253
23.575900030682405,23.412106197386777
23.44013346480905,23.33862814982778
23.69984347228826,23.619805407302493
23.841423541553116,23.782121406448816
23.98906152751825,23.911236017680594
24.110953251448905,23.96957772444592
24.087508143009003,23.948302992691733
24.158563788926823,24.042340231464454
24.285507044995402,24.180463274491828
24.288930700456035,24.14283209272897
24.245111616875715,24.109331266647153
24.05288415850346,23.901445851792836
24.051992559618718,23.934588438291442
24.314635601018498,24.211405257181994
24.371837621978123,24.268642653626205
24.439318873958086,24.30118381159973
24.30730418927399,24.157858496017056
24.22650738457981,24.107324057790603
24.2822114438115,24.171611207352925
24.328205390215295,24.19783842144653
24.326730679952238,24.203297306162323
57.95610994125133,57.95610994125133
57.445078949454626,57.445078949454626
22.26054709702852,22.236332680549026
22.99791184783037,22.933776196995623
23.083251089972993,22.964006330067427
23.140046466415885,23.052032363485615
23.099414688682366,23.00141268050474
