,water_availability_gw[MCM]
403,0.011384169072621563
404,0.0007644258605494732
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.006483198385219614
428,0.012898955661570557
429,0.012898955661570557
430,0.012898955661570557
431,0.012898955661570557
432,0.012898955661570557
433,0.012898955661570557
434,0.012898955661570557
435,0.012898955661570557
436,0.012898955661570557
437,0.012898955661570557
438,0.009758999701520428
439,0.0009805781076102154
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00369453113381959
463,0.012898955661570557
464,0.012898955661570557
465,0.012898955661570557
466,0.012898955661570557
467,0.012898955661570557
468,0.012898955661570557
469,0.012898955661570557
470,0.012898955661570557
471,0.012898955661570557
472,0.012898955661570557
473,0.012898955661570557
474,0.011247933176608254
475,0.0013799488769470382
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0006313210022310592
499,0.012756291838480852
500,0.012898955661570557
501,0.012898955661570557
502,0.012898955661570557
503,0.012898955661570557
504,0.012898955661570557
505,0.012898955661570557
506,0.012898955661570557
507,0.012898955661570557
508,0.012898955661570557
509,0.012898955661570557
510,0.012898955661570557
511,0.0068779916796018695
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.010614477035865159
536,0.012898955661570557
537,0.012898955661570557
538,0.012898955661570557
539,0.012898955661570557
540,0.012898955661570557
541,0.012898955661570557
542,0.012898955661570557
543,0.012898955661570557
544,0.012898955661570557
545,0.012898955661570557
546,0.012898955661570557
547,0.012530923847664053
548,0.0033863165992001737
549,1.7025687903432016e-05
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.008160776018319767
574,0.012898955661570557
575,0.012898955661570557
576,0.012898955661570557
577,0.012898955661570557
578,0.012898955661570557
579,0.012898955661570557
580,0.012898955661570557
581,0.012898955661570557
582,0.012898955661570557
583,0.012898955661570557
584,0.012898955661570557
585,0.012898955661570557
586,0.012898955661570557
587,0.004543716254639844
588,0.00022945496044569008
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.007528086455307394
613,0.012898955661570557
614,0.012898955661570557
