,water_availability_sw[MCM]
323,0.14300374016922884
324,0.0791159650791264
325,0.15183402782968455
326,0.08809878300734197
327,0.17110953423332073
328,0.1464255475034878
329,0.16785321549045437
330,0.1470753534406524
331,0.13429547672298106
332,0.11650855774665086
333,0.11476998265926408
334,0.12333219499956835
335,0.1390309341155046
336,0.111631098724319
337,0.021321031782072498
338,0.04430477846526538
339,0.13212090803836915
340,0.11120617369519682
341,0.08394726007351679
342,0.10111352934085593
343,0.08121629336792598
344,0.08232234028299178
345,0.1299255520429298
346,0.0891138516919032
347,0.11732493213551076
348,0.11567382573264465
349,0.14754212305650516
350,0.12964775798005385
351,0.07474307078324266
352,0.0917200945325293
353,0.07085584365850937
354,0.1647483471550451
355,0.12989369616399943
356,0.08549658964285108
357,0.11527481735078789
358,0.14470047066988506
359,0.18865321467646218
360,0.16112703562985778
361,0.19886977300054073
362,0.08961760652312428
363,0.12936105506968046
364,0.14945671537323607
365,0.13682990885347596
366,0.11933536205410848
367,0.13772214342860226
368,0.13524305413862198
369,0.13631454552400057
370,0.02144521571688584
371,0.032559137952528634
372,0.10129305611618393
373,0.10888960338077663
374,0.09913765495194539
375,0.08678324319354758
376,0.10261345530134058
377,0.09026417287938071
378,0.08246866135401097
379,0.08315275285578709
380,0.09280643399707038
381,0.13268351525608874
382,0.19499685402481853
383,0.12084230710656084
384,0.09528552328705064
385,0.07059937683661224
386,0.09265147404362938
387,0.16830783667790145
388,0.1657240009385569
389,0.13836439034364778
390,0.12505484214748996
391,0.17393066927418907
392,0.15593317753882757
393,0.16748876263828477
394,0.12687089721159725
395,0.10999700012122084
396,0.10995488556941455
397,0.15155110443037068
398,0.16501642247519652
399,0.12898904319539178
400,0.11877086508085916
401,0.1423031807978362
402,0.13404872864380846
403,0.13075299499989262
404,0.007020441793089068
405,0.02882741071138769
406,0.07635368242475658
407,0.14196113504694816
408,0.10478100489398476
409,0.11667161665236231
410,0.07721352119080113
411,0.08850319069071237
412,0.10549128300810195
413,0.16673744983266406
414,0.12362051770039585
415,0.1762434600775497
416,0.1724426217770344
417,0.10261669488224874
418,0.09777001187854453
419,0.08890084924719076
420,0.17930999337221223
421,0.1418539589119027
422,0.15960254284748615
423,0.17222556985618676
424,0.14080055518659476
425,0.16662055495489408
426,0.1561421305074048
427,0.15456769418603217
428,0.08896969034148945
429,0.13696300163578679
430,0.11488822736241243
431,0.15371973388331758
432,0.1578950137438027
433,0.15114669674700026
434,0.11806166682704469
435,0.1391656466882695
436,0.13574221956355648
437,0.15401291595550734
438,0.09877509185530556
439,0.009750328638377152
440,0.0528046288730873
441,0.15754486904064421
442,0.1033375016343175
443,0.13011587742128503
444,0.1333651770721837
445,0.07978790815249685
446,0.08153485215722978
447,0.0905225294568076
448,0.11714108591897188
449,0.1215242388877315
450,0.1543147369101189
451,0.08760933632513199
452,0.08200810093489888
453,0.16984879732988964
454,0.19568688475825963
455,0.18680611362865154
456,0.18374767928625946
457,0.13619630082085224
458,0.15268036834194504
459,0.13705856927257792
460,0.15513732049571946
461,0.15819440501273313
462,0.05659088905951585
463,0.09656245809502263
464,0.15523882736417557
465,0.12767836275295966
466,0.11455806007485435
467,0.16145018382544815
468,0.14618716834166132
469,0.13285791269497876
470,0.13404548906290029
471,0.13380036077418175
472,0.13016690082058877
473,0.14755211176430535
474,0.11781410885264504
475,0.014878045285865473
476,0.07463454482281882
477,0.10256648137817204
478,0.06521141385616726
